ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 762008333, 0, 156072, 61878080, 397, 360, 552
rtr_G0R0, send_packet_count, port0, Accumulator, 762008333, 0, 397, 397, 397, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 762008333, 0, 760158129, 1679747615056151, 398, 126401, 13683468
rtr_G0R0, width_adj_count, port0, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 762008333, 0, 79072, 31817728, 200, 360, 808
rtr_G0R0, send_packet_count, port1, Accumulator, 762008333, 0, 200, 200, 200, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 762008333, 0, 761071234, 3519379631866194, 201, 126401, 27578669
rtr_G0R0, width_adj_count, port1, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 762008333, 0, 78280, 31719232, 197, 360, 808
rtr_G0R0, send_packet_count, port2, Accumulator, 762008333, 0, 197, 197, 197, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 762008333, 0, 761079232, 3530264358626194, 198, 310669, 27709069
rtr_G0R0, width_adj_count, port2, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port0, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port1, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R0, xbar_stalls, port2, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 762008333, 0, 79200, 15844186, 397, 197, 285
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 762008333, 0, 157352, 63536960, 397, 360, 808
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 762008333, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 762008333, 0, 268848864, 427804263877140, 397, 120669, 12178136
rtr_G0R1, send_bit_count, port0, Accumulator, 762008333, 0, 156712, 62707520, 397, 360, 808
rtr_G0R1, send_packet_count, port0, Accumulator, 762008333, 0, 397, 397, 397, 1, 1
rtr_G0R1, output_port_stalls, port0, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
rtr_G0R1, idle_time, port0, Accumulator, 762008333, 0, 760150131, 1696173224084425, 398, 47735, 13149869
rtr_G0R1, width_adj_count, port0, Accumulator, 762008333, 0, 0, 0, 0, 0, 0
