ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_G0R0, send_bit_count, port0, Accumulator, 2376729133, 0, 177672, 113476160, 409, 360, 3432
rtr_G0R0, send_packet_count, port0, Accumulator, 2376729133, 0, 409, 409, 409, 1, 1
rtr_G0R0, output_port_stalls, port0, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port0, Accumulator, 2376729133, 0, 2374650986, 26051633502392156, 409, 210405, 23643468
rtr_G0R0, width_adj_count, port0, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port1, Accumulator, 2376729133, 0, 89368, 67153600, 203, 360, 3432
rtr_G0R0, send_packet_count, port1, Accumulator, 2376729133, 0, 203, 203, 203, 1, 1
rtr_G0R0, output_port_stalls, port1, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port1, Accumulator, 2376729133, 0, 2375684061, 29470547582463237, 204, 126401, 38839469
rtr_G0R0, width_adj_count, port1, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port2, Accumulator, 2376729133, 0, 78280, 31719232, 197, 360, 808
rtr_G0R0, send_packet_count, port2, Accumulator, 2376729133, 0, 197, 197, 197, 1, 1
rtr_G0R0, output_port_stalls, port2, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port2, Accumulator, 2376729133, 0, 2375800032, 29598698542848594, 198, 310669, 38969869
rtr_G0R0, width_adj_count, port2, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port3, Accumulator, 2376729133, 0, 75984, 29975680, 194, 360, 488
rtr_G0R0, send_packet_count, port3, Accumulator, 2376729133, 0, 194, 194, 194, 1, 1
rtr_G0R0, output_port_stalls, port3, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port3, Accumulator, 2376729133, 0, 2375828025, 29559339240524845, 195, 3407733, 31717068
rtr_G0R0, width_adj_count, port3, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port4, Accumulator, 2376729133, 0, 78216, 31636288, 197, 360, 744
rtr_G0R0, send_packet_count, port4, Accumulator, 2376729133, 0, 197, 197, 197, 1, 1
rtr_G0R0, output_port_stalls, port4, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port4, Accumulator, 2376729133, 0, 2375804031, 28811992186084857, 198, 3343733, 24218668
rtr_G0R0, width_adj_count, port4, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, send_bit_count, port5, Accumulator, 2376729133, 0, 75984, 29975680, 194, 360, 488
rtr_G0R0, send_packet_count, port5, Accumulator, 2376729133, 0, 194, 194, 194, 1, 1
rtr_G0R0, output_port_stalls, port5, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
rtr_G0R0, idle_time, port5, Accumulator, 2376729133, 0, 2375828025, 29602202035094445, 195, 3488533, 32813068
rtr_G0R0, width_adj_count, port5, Accumulator, 2376729133, 0, 0, 0, 0, 0, 0
