ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 2612521133, 0, 86424, 22483906, 409, 111, 458
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 2612521133, 0, 178952, 115135040, 409, 360, 3432
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 2612521133, 0, 2326058657, 27390185201400017, 409, 110005, 23359736
nic1:rtrLink:networkIF, packet_latency, , Accumulator, 2612521133, 0, 173088, 61866718, 603, 111, 458
nic1:rtrLink:networkIF, send_bit_count, , Accumulator, 2612521133, 0, 254936, 145110720, 603, 360, 3432
nic1:rtrLink:networkIF, output_port_stalls, , Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
nic1:rtrLink:networkIF, idle_time, , Accumulator, 2612521133, 0, 2081665879, 18177951446475559, 604, 14135, 20578136
rtr_l0_g0_r0, send_bit_count, port0, Accumulator, 2612521133, 0, 177672, 113476160, 409, 360, 3432
rtr_l0_g0_r0, send_packet_count, port0, Accumulator, 2612521133, 0, 409, 409, 409, 1, 1
rtr_l0_g0_r0, output_port_stalls, port0, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port0, Accumulator, 2612521133, 0, 2610442986, 31758585411933308, 410, 17068, 24865068
rtr_l0_g0_r0, width_adj_count, port0, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, send_bit_count, port1, Accumulator, 2612521133, 0, 254296, 144281280, 603, 360, 3432
rtr_l0_g0_r0, send_packet_count, port1, Accumulator, 2612521133, 0, 603, 603, 603, 1, 1
rtr_l0_g0_r0, output_port_stalls, port1, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port1, Accumulator, 2612521133, 0, 2609533880, 22288232116189938, 604, 74403, 21939469
rtr_l0_g0_r0, width_adj_count, port1, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, send_bit_count, port2, Accumulator, 2612521133, 0, 178952, 115135040, 409, 360, 3432
rtr_l0_g0_r0, send_packet_count, port2, Accumulator, 2612521133, 0, 409, 409, 409, 1, 1
rtr_l0_g0_r0, output_port_stalls, port2, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port2, Accumulator, 2612521133, 0, 2610426990, 31196814848012256, 410, 65068, 37743469
rtr_l0_g0_r0, width_adj_count, port2, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, send_bit_count, port3, Accumulator, 2612521133, 0, 99880, 83317312, 209, 360, 3432
rtr_l0_g0_r0, send_packet_count, port3, Accumulator, 2612521133, 0, 209, 209, 209, 1, 1
rtr_l0_g0_r0, output_port_stalls, port3, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, idle_time, port3, Accumulator, 2612521133, 0, 2611364089, 35504978813476151, 210, 110405, 39929069
rtr_l0_g0_r0, width_adj_count, port3, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port0, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port1, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port2, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g0_r0, xbar_stalls, port3, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, packet_latency, , Accumulator, 2612521133, 0, 240502, 99944352, 603, 284, 462
nic2:rtrLink:networkIF, send_bit_count, , Accumulator, 2612521133, 0, 254936, 145110720, 603, 360, 3432
nic2:rtrLink:networkIF, output_port_stalls, , Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
nic2:rtrLink:networkIF, idle_time, , Accumulator, 2612521133, 0, 2264292813, 18383163185113779, 603, 110005, 20448536
nic3:rtrLink:networkIF, packet_latency, , Accumulator, 2612521133, 0, 239614, 99643200, 603, 111, 458
nic3:rtrLink:networkIF, send_bit_count, , Accumulator, 2612521133, 0, 254936, 145110720, 603, 360, 3432
nic3:rtrLink:networkIF, output_port_stalls, , Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
nic3:rtrLink:networkIF, idle_time, , Accumulator, 2612521133, 0, 1973980147, 11387890482753959, 603, 110005, 17950936
rtr_l0_g1_r0, send_bit_count, port0, Accumulator, 2612521133, 0, 254296, 144281280, 603, 360, 3432
rtr_l0_g1_r0, send_packet_count, port0, Accumulator, 2612521133, 0, 603, 603, 603, 1, 1
rtr_l0_g1_r0, output_port_stalls, port0, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g1_r0, idle_time, port0, Accumulator, 2612521133, 0, 2609533880, 22576128486392786, 603, 53601, 21809869
rtr_l0_g1_r0, width_adj_count, port0, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g1_r0, send_bit_count, port1, Accumulator, 2612521133, 0, 254296, 144281280, 603, 360, 3432
rtr_l0_g1_r0, send_packet_count, port1, Accumulator, 2612521133, 0, 603, 603, 603, 1, 1
rtr_l0_g1_r0, output_port_stalls, port1, Accumulator, 2612521133, 0, 0, 0, 0, 0, 0
rtr_l0_g1_r0, idle_time, port1, Accumulator, 2612521133, 0, 2609533880, 15452869399210738, 604, 113602, 18812269
