ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0, send_bit_count, port0, Accumulator, 2589773133, 0, 2232, 1660608, 3, 744, 744
rtr_0x0, send_packet_count, port0, Accumulator, 2589773133, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port0, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port0, Accumulator, 2589773133, 0, 2589749139, 3303096826382500901, 4, 9678402, 1322019002
rtr_0x0, width_adj_count, port0, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port1, Accumulator, 2589773133, 0, 79072, 31817728, 200, 360, 808
rtr_0x0, send_packet_count, port1, Accumulator, 2589773133, 0, 200, 200, 200, 1, 1
rtr_0x0, output_port_stalls, port1, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port1, Accumulator, 2589773133, 0, 2588836034, 34958044648789394, 201, 125601, 39733869
rtr_0x0, width_adj_count, port1, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port2, Accumulator, 2589773133, 0, 78280, 31719232, 197, 360, 808
rtr_0x0, send_packet_count, port2, Accumulator, 2589773133, 0, 197, 197, 197, 1, 1
rtr_0x0, output_port_stalls, port2, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port2, Accumulator, 2589773133, 0, 2588844032, 34988211790501394, 198, 310669, 39863469
rtr_0x0, width_adj_count, port2, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port3, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_packet_count, port3, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, output_port_stalls, port3, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port3, Accumulator, 2589773133, 0, 2589773133, 6706924880408635689, 1, 2589773133, 2589773133
rtr_0x0, width_adj_count, port3, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port8, Accumulator, 2589773133, 0, 10296, 35335872, 3, 3432, 3432
rtr_0x0, send_packet_count, port8, Accumulator, 2589773133, 0, 3, 3, 3, 1, 1
rtr_0x0, output_port_stalls, port8, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port8, Accumulator, 2589773133, 0, 2589665160, 3301312630521275932, 4, 8268809, 1320967009
rtr_0x0, width_adj_count, port8, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port9, Accumulator, 2589773133, 0, 86344, 38209600, 209, 360, 1128
rtr_0x0, send_packet_count, port9, Accumulator, 2589773133, 0, 209, 209, 209, 1, 1
rtr_0x0, output_port_stalls, port9, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, idle_time, port9, Accumulator, 2589773133, 0, 2588756054, 34268083564964908, 210, 560269, 30764269
rtr_0x0, width_adj_count, port9, Accumulator, 2589773133, 0, 0, 0, 0, 0, 0
rtr_0x0, send_bit_count, port10, Accumulator, 2589773133, 0, 82312, 41589568, 197, 360, 1896
rtr_0x0, send_packet_count, port10, Accumulator, 2589773133, 0, 197, 197, 197, 1, 1
