Pattern,Topology,Offset,Rank_A,Coord_A,Rank_B,Coord_B,Hop_Count
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",7,"(1, 1, 1)",0,"(0, 0, 0)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",11,"(1, 1, 2)",4,"(0, 0, 1)",5
AllPingPong Neighbor1,mesh,"(-1, -1, -1)",15,"(1, 1, 3)",8,"(0, 0, 2)",5
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",3,"(1, 1, 0)",0,"(0, 0, 0)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",7,"(1, 1, 1)",4,"(0, 0, 1)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",11,"(1, 1, 2)",8,"(0, 0, 2)",4
AllPingPong Neighbor2,mesh,"(-1, -1, 0)",15,"(1, 1, 3)",12,"(0, 0, 3)",4
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",3,"(1, 1, 0)",4,"(0, 0, 1)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",7,"(1, 1, 1)",8,"(0, 0, 2)",5
AllPingPong Neighbor3,mesh,"(-1, -1, 1)",11,"(1, 1, 2)",12,"(0, 0, 3)",5
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",5,"(1, 0, 1)",0,"(0, 0, 0)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",7,"(1, 1, 1)",2,"(0, 1, 0)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",9,"(1, 0, 2)",4,"(0, 0, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",11,"(1, 1, 2)",6,"(0, 1, 1)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",13,"(1, 0, 3)",8,"(0, 0, 2)",4
AllPingPong Neighbor4,mesh,"(-1, 0, -1)",15,"(1, 1, 3)",10,"(0, 1, 2)",4
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",1,"(1, 0, 0)",0,"(0, 0, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",3,"(1, 1, 0)",2,"(0, 1, 0)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",5,"(1, 0, 1)",4,"(0, 0, 1)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",7,"(1, 1, 1)",6,"(0, 1, 1)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",9,"(1, 0, 2)",8,"(0, 0, 2)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",11,"(1, 1, 2)",10,"(0, 1, 2)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",13,"(1, 0, 3)",12,"(0, 0, 3)",3
AllPingPong Neighbor5,mesh,"(-1, 0, 0)",15,"(1, 1, 3)",14,"(0, 1, 3)",3
AllPingPong Neighbor6,mesh,"(-1, 0, 1)",1,"(1, 0, 0)",4,"(0, 0, 1)",4
AllPingPong Neighbor6,mesh,"(-1, 0, 1)",3,"(1, 1, 0)",6,"(0, 1, 1)",4
AllPingPong Neighbor6,mesh,"(-1, 0, 1)",5,"(1, 0, 1)",8,"(0, 0, 2)",4
AllPingPong Neighbor6,mesh,"(-1, 0, 1)",7,"(1, 1, 1)",10,"(0, 1, 2)",4
AllPingPong Neighbor6,mesh,"(-1, 0, 1)",9,"(1, 0, 2)",12,"(0, 0, 3)",4
AllPingPong Neighbor6,mesh,"(-1, 0, 1)",11,"(1, 1, 2)",14,"(0, 1, 3)",4
AllPingPong Neighbor7,mesh,"(-1, 1, -1)",5,"(1, 0, 1)",2,"(0, 1, 0)",5
AllPingPong Neighbor7,mesh,"(-1, 1, -1)",9,"(1, 0, 2)",6,"(0, 1, 1)",5
AllPingPong Neighbor7,mesh,"(-1, 1, -1)",13,"(1, 0, 3)",10,"(0, 1, 2)",5
AllPingPong Neighbor8,mesh,"(-1, 1, 0)",1,"(1, 0, 0)",2,"(0, 1, 0)",4
AllPingPong Neighbor8,mesh,"(-1, 1, 0)",5,"(1, 0, 1)",6,"(0, 1, 1)",4
AllPingPong Neighbor8,mesh,"(-1, 1, 0)",9,"(1, 0, 2)",10,"(0, 1, 2)",4
AllPingPong Neighbor8,mesh,"(-1, 1, 0)",13,"(1, 0, 3)",14,"(0, 1, 3)",4
AllPingPong Neighbor9,mesh,"(-1, 1, 1)",1,"(1, 0, 0)",6,"(0, 1, 1)",5
AllPingPong Neighbor9,mesh,"(-1, 1, 1)",5,"(1, 0, 1)",10,"(0, 1, 2)",5
AllPingPong Neighbor9,mesh,"(-1, 1, 1)",9,"(1, 0, 2)",14,"(0, 1, 3)",5
AllPingPong Neighbor10,mesh,"(0, -1, -1)",6,"(0, 1, 1)",0,"(0, 0, 0)",4
AllPingPong Neighbor10,mesh,"(0, -1, -1)",7,"(1, 1, 1)",1,"(1, 0, 0)",4
