ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0x0, send_bit_count, port0, Accumulator, 17485230652, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port0, Accumulator, 17485230652, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port0, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port0, Accumulator, 17485230652, 0, 17484953388, 15272738456372659544, 57, 3262040, 17087160643
rtr_0x0x0, width_adj_count, port0, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port2, Accumulator, 17485230652, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port2, Accumulator, 17485230652, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port2, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port2, Accumulator, 17485230652, 0, 17484953388, 15277159739873829638, 57, 3131975, 17087290041
rtr_0x0x0, width_adj_count, port2, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port4, Accumulator, 17485230652, 0, 154207920, 2483662093440, 12406, 104, 16384
rtr_0x0x0, send_packet_count, port4, Accumulator, 17485230652, 0, 12406, 12406, 12406, 1, 1
rtr_0x0x0, output_port_stalls, port4, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port4, Accumulator, 17485230652, 0, 15878121863, 105179727889039385, 3307, 1207273, 8397479
rtr_0x0x0, width_adj_count, port4, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port5, Accumulator, 17485230652, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port5, Accumulator, 17485230652, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port5, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port5, Accumulator, 17485230652, 0, 17484953388, 15309159021850089852, 57, 2196174, 17088226509
rtr_0x0x0, width_adj_count, port5, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port8, Accumulator, 17485230652, 0, 154230640, 2483671358080, 12462, 104, 16384
rtr_0x0x0, send_packet_count, port8, Accumulator, 17485230652, 0, 12462, 12462, 12462, 1, 1
rtr_0x0x0, output_port_stalls, port8, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port8, Accumulator, 17485230652, 0, 15877844599, 106116330069128685, 3363, 246127, 9397312
rtr_0x0x0, width_adj_count, port8, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port0, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port1, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port2, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port3, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port4, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port5, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port6, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port7, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port8, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 17485230652, 0, 2538622, 517557068, 12462, 143, 205
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 17485230652, 0, 154230640, 2483671358080, 12462, 104, 16384
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 17485230652, 0, 7770237910, 46992090797390434, 3362, 124668, 8188667
rtr_1x0x0, send_bit_count, port1, Accumulator, 17485230652, 0, 45440, 18529280, 112, 360, 424
rtr_1x0x0, send_packet_count, port1, Accumulator, 17485230652, 0, 112, 112, 112, 1, 1
rtr_1x0x0, output_port_stalls, port1, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_1x0x0, idle_time, port1, Accumulator, 17485230652, 0, 17484676124, 15236676361540361044, 113, 1873607, 17086137465
rtr_1x0x0, width_adj_count, port1, Accumulator, 17485230652, 0, 0, 0, 0, 0, 0
rtr_1x0x0, send_bit_count, port2, Accumulator, 17485230652, 0, 22720, 9264640, 56, 360, 424
rtr_1x0x0, send_packet_count, port2, Accumulator, 17485230652, 0, 56, 56, 56, 1, 1
