ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
rtr_0x0x0, send_bit_count, port0, Accumulator, 17719288289, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port0, Accumulator, 17719288289, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port0, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port0, Accumulator, 17719288289, 0, 17719011025, 15364590085745609725, 57, 5071611, 17089723257
rtr_0x0x0, width_adj_count, port0, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port1, Accumulator, 17719288289, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port1, Accumulator, 17719288289, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port1, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port1, Accumulator, 17719288289, 0, 17719011025, 15360168671524484317, 57, 5201676, 17089593859
rtr_0x0x0, width_adj_count, port1, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port4, Accumulator, 17719288289, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port4, Accumulator, 17719288289, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port4, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port4, Accumulator, 17719288289, 0, 17719011025, 15432765692295924937, 57, 3077281, 17091718254
rtr_0x0x0, width_adj_count, port4, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port5, Accumulator, 17719288289, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port5, Accumulator, 17719288289, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port5, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port5, Accumulator, 17719288289, 0, 17719011025, 15396590289182195185, 57, 4135810, 17090659725
rtr_0x0x0, width_adj_count, port5, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port8, Accumulator, 17719288289, 0, 154155920, 2473217997440, 12406, 104, 16384
rtr_0x0x0, send_packet_count, port8, Accumulator, 17719288289, 0, 12406, 12406, 12406, 1, 1
rtr_0x0x0, output_port_stalls, port8, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port8, Accumulator, 17719288289, 0, 16112612725, 109528089198201383, 3307, 1082951, 11975884
rtr_0x0x0, width_adj_count, port8, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port9, Accumulator, 17719288289, 0, 22720, 9264640, 56, 360, 424
rtr_0x0x0, send_packet_count, port9, Accumulator, 17719288289, 0, 56, 56, 56, 1, 1
rtr_0x0x0, output_port_stalls, port9, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port9, Accumulator, 17719288289, 0, 17719011025, 15464750578365296885, 57, 2141480, 17092654055
rtr_0x0x0, width_adj_count, port9, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, send_bit_count, port12, Accumulator, 17719288289, 0, 154178640, 2473227262080, 12462, 104, 16384
rtr_0x0x0, send_packet_count, port12, Accumulator, 17719288289, 0, 12462, 12462, 12462, 1, 1
rtr_0x0x0, output_port_stalls, port12, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, idle_time, port12, Accumulator, 17719288289, 0, 16112335461, 110819627128005281, 3363, 156082, 11198934
rtr_0x0x0, width_adj_count, port12, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port0, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port1, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port2, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port3, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port4, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port5, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port6, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port7, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port8, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port9, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port10, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port11, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_0x0x0, xbar_stalls, port12, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, packet_latency, , Accumulator, 17719288289, 0, 2542077, 518758249, 12462, 143, 205
nic0:rtrLink:networkIF, send_bit_count, , Accumulator, 17719288289, 0, 154178640, 2473227262080, 12462, 104, 16384
nic0:rtrLink:networkIF, output_port_stalls, , Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
nic0:rtrLink:networkIF, idle_time, , Accumulator, 17719288289, 0, 8034480387, 51127958795645711, 3362, 124668, 10239009
rtr_1x0x0, send_bit_count, port0, Accumulator, 17719288289, 0, 22720, 9264640, 56, 360, 424
rtr_1x0x0, send_packet_count, port0, Accumulator, 17719288289, 0, 56, 56, 56, 1, 1
rtr_1x0x0, output_port_stalls, port0, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, idle_time, port0, Accumulator, 17719288289, 0, 17719011025, 15390048650099270197, 57, 4327239, 17090468296
rtr_1x0x0, width_adj_count, port0, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, send_bit_count, port1, Accumulator, 17719288289, 0, 22720, 9264640, 56, 360, 424
rtr_1x0x0, send_packet_count, port1, Accumulator, 17719288289, 0, 56, 56, 56, 1, 1
rtr_1x0x0, output_port_stalls, port1, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, idle_time, port1, Accumulator, 17719288289, 0, 17719011025, 15366686858403901005, 57, 5010247, 17089784621
rtr_1x0x0, width_adj_count, port1, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, send_bit_count, port2, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, send_packet_count, port2, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, output_port_stalls, port2, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, idle_time, port2, Accumulator, 17719288289, 0, 17719288289, 378528215630170049, 1, 17719288289, 17719288289
rtr_1x0x0, width_adj_count, port2, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
rtr_1x0x0, send_bit_count, port3, Accumulator, 17719288289, 0, 90880, 37058560, 224, 360, 424
rtr_1x0x0, send_packet_count, port3, Accumulator, 17719288289, 0, 224, 224, 224, 1, 1
rtr_1x0x0, output_port_stalls, port3, Accumulator, 17719288289, 0, 0, 0, 0, 0, 0
